banner_id,site,first_seen_date,last_seen_date,days_seen,seen_dates,example_path,example_rel,example_url,md5,phash,matches,advertiser_host,advertiser_domain,source_host,iframe_host,page_domain,advertiser_hosts_all,advertiser_domains_all
bn_92bccc7af1,ikon.mn,2025-09-13,2025-09-13,1,2025-09-13,C:\Data\work\webbot\banner_screenshots\ikon.mn\2025-09-13\ikon_banner_1757727824_92bccc7af1.png,,,92bccc7af1,ed9994d6e6c11a1a,exact,www.mobicom.mn,mobicom.mn,content.ikon.mn,,ikon.mn,www.mobicom.mn,mobicom.mn
bn_d04bc02015,ikon.mn,2025-09-13,2025-09-13,1,2025-09-13,C:\Data\work\webbot\banner_screenshots\ikon.mn\2025-09-13\ikon_banner_1757727909_d04bc02015.jpg,,,d04bc02015,87a4ca89f43b16f2,exact,,,content.ikon.mn,,ikon.mn,,
bn_2143166896,ikon.mn,2025-09-13,2025-09-13,1,2025-09-13,C:\Data\work\webbot\banner_screenshots\ikon.mn\2025-09-13\ikon_banner_1757727995_2143166896.jpg,,,2143166896,d86c72b16d4c258f,exact,www.tdbm.mn,tdbm.mn,content.ikon.mn,,ikon.mn,www.tdbm.mn,tdbm.mn
bn_7672bb7d80,ikon.mn,2025-09-13,2025-09-18,3,2025-09-13;2025-09-17;2025-09-18,C:\Data\work\webbot\banner_screenshots\ikon.mn\2025-09-13\ikon_banner_1757728006_7672bb7d80.jpg,,,7672bb7d80,9b8a3b7b60712587,exact,www.khanbank.com,khanbank.com,content.ikon.mn,,ikon.mn,www.khanbank.com,khanbank.com
bn_30033c76a9,news.mn,2025-09-13,2025-09-18,3,2025-09-13;2025-09-17;2025-09-18,C:\Data\work\webbot\banner_screenshots\news.mn\2025-09-13\news_banner_1757728251_30033c76a9.jpg,,,30033c76a9,b21c857378bc5a87,exact,www.koreanair.com,koreanair.com,news.mn,,news.mn,www.koreanair.com,koreanair.com
bn_34e96be07f,news.mn,2025-09-13,2025-09-13,1,2025-09-13,C:\Data\work\webbot\banner_screenshots\news.mn\2025-09-13\news_banner_1757728251_34e96be07f.jpg,,,34e96be07f,b6241761f1772fc0,exact,www.facebook.com,facebook.com,news.mn,,news.mn,www.facebook.com,facebook.com
bn_5cf73cbbea,news.mn,2025-09-13,2025-09-13,1,2025-09-13,C:\Data\work\webbot\banner_screenshots\news.mn\2025-09-13\news_banner_1757728251_5cf73cbbea.jpg,,,5cf73cbbea,decb4198d0ff3242,exact,steppemarathon.com,steppemarathon.com,news.mn,,news.mn,steppemarathon.com,steppemarathon.com
bn_cad63a79d4,news.mn,2025-09-13,2025-09-13,1,2025-09-13,C:\Data\work\webbot\banner_screenshots\news.mn\2025-09-13\news_banner_1757728251_cad63a79d4.jpg,,,cad63a79d4,c84c73b1724e3787,exact,www.tdbm.mn,tdbm.mn,news.mn,,news.mn,www.tdbm.mn,tdbm.mn
bn_8bb4eaa01d,news.mn,2025-09-13,2025-09-18,3,2025-09-13;2025-09-17;2025-09-18,C:\Data\work\webbot\banner_screenshots\news.mn\2025-09-13\news_banner_1757728251_8bb4eaa01d.jpg,,,8bb4eaa01d,c690270bf9279aec,exact,www.khanbank.com,khanbank.com,news.mn,,news.mn,www.khanbank.com,khanbank.com
bn_219001ac25,news.mn,2025-09-13,2025-09-18,3,2025-09-13;2025-09-17;2025-09-18,C:\Data\work\webbot\banner_screenshots\news.mn\2025-09-13\news_banner_1757728251_219001ac25.jpg,,,219001ac25,90961aea7d3bc685,exact,www.khanbank.com,khanbank.com,news.mn,,news.mn,www.khanbank.com,khanbank.com
bn_b90cd9ee44,news.mn,2025-09-13,2025-09-13,1,2025-09-13,C:\Data\work\webbot\banner_screenshots\news.mn\2025-09-13\news_banner_1757728252_b90cd9ee44.jpg,,,b90cd9ee44,d2fe75c03a674612,exact,,,news.mn,,news.mn,,
bn_f198d6a249,ikon.mn,2025-09-17,2025-09-18,2,2025-09-17;2025-09-18,C:\Data\work\webbot\banner_screenshots\ikon.mn\2025-09-17\ikon_banner_1758090013_f198d6a249.jpg,,,d92e731fb1,cb8a798794b4a5e1,near,www.tdbm.mn,tdbm.mn,content.ikon.mn,,ikon.mn,www.tdbm.mn,tdbm.mn
bn_182a52c8df,news.mn,2025-09-17,2025-09-18,2,2025-09-17;2025-09-18,C:\Data\work\webbot\banner_screenshots\news.mn\2025-09-17\news_banner_1758090275_182a52c8df.jpg,,,182a52c8df,e699c3a5b45ea44a,exact,www.facebook.com,facebook.com,news.mn,,news.mn,www.facebook.com,facebook.com
bn_268792eef2,gogo.mn,2025-09-17,2025-09-18,2,2025-09-17;2025-09-18,C:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758091323_268792eef2.webp,,,268792eef2,89f76c34ce8f3124,exact,,,edge.boost.mn,,gogo.mn,,
bn_a1626cc53b,gogo.mn,2025-09-17,2025-09-18,2,2025-09-17;2025-09-18,C:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758091340_a1626cc53b.webp,,,a1626cc53b,d26974a20c708bff,exact,,,edge.boost.mn,,gogo.mn,,
bn_ba402249d0,gogo.mn,2025-09-17,2025-09-18,2,2025-09-17;2025-09-18,C:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758091340_ba402249d0.webp,,,ba402249d0,ca839166b47de9d0,exact,,,edge.boost.mn,,gogo.mn,,
bn_371807dfd7,gogo.mn,2025-09-17,2025-09-18,2,2025-09-17;2025-09-18,C:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758091340_371807dfd7.webp,,,371807dfd7,9e4c73318ccc5379,exact,,,edge.boost.mn,,gogo.mn,,
bn_af3ba72442,gogo.mn,2025-09-17,2025-09-18,2,2025-09-17;2025-09-18,C:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758091340_af3ba72442.webp,,,af3ba72442,d2701a9b6b9f106b,exact,,,edge.boost.mn,,gogo.mn,,
bn_bf4e4a14d8,gogo.mn,2025-09-17,2025-09-18,2,2025-09-17;2025-09-18,C:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758091340_bf4e4a14d8.webp,,,bf4e4a14d8,82ac29f3fd8c9135,exact,,,edge.boost.mn,,gogo.mn,,
bn_0f3b81fbf5,gogo.mn,2025-09-17,2025-09-18,2,2025-09-17;2025-09-18,C:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758091340_0f3b81fbf5.webp,,,0f3b81fbf5,b14e4eb15932794e,exact,,,edge.boost.mn,,gogo.mn,,
bn_b436737b1d,gogo.mn,2025-09-17,2025-09-18,2,2025-09-17;2025-09-18,C:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758091341_b436737b1d.webp,,,b436737b1d,c1e57e1ab52598c3,exact,,,edge.boost.mn,,gogo.mn,,
bn_aff40ab66b,gogo.mn,2025-09-18,2025-09-18,1,2025-09-18,C:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-18\gogo_boost_1758180609_aff40ab66b.webp,,,aff40ab66b,8da1767a2ca70bd8,new,,,edge.boost.mn,,gogo.mn,,
bn_fefdb344c2,gogo.mn,2025-09-18,2025-09-18,1,2025-09-18,C:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-18\gogo_boost_1758180696_fefdb344c2.webp,,,fefdb344c2,c39b3c6439c3c734,new,,,edge.boost.mn,,gogo.mn,,
bn_05f2ffa0ec,news.mn,2025-09-18,2025-09-18,1,2025-09-18,C:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\news.mn\2025-09-18\news_banner_1758180704_05f2ffa0ec.png,,,05f2ffa0ec,c470781ab4859f3f,new,www.golomtbank.com,golomtbank.com,news.mn,,news.mn,www.golomtbank.com,golomtbank.com
