banner_id,site,first_seen_date,last_seen_date,days_seen,seen_dates,example_path,md5,phash,matches,advertiser_host,advertiser_domain,source_host,iframe_host,page_domain,advertiser_hosts_all,advertiser_domains_all
bn_268792eef2,gogo.mn,2025-09-17,2025-09-17,1,2025-09-17,c:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758090445_268792eef2.webp,268792eef2,89f76c34ce8f3124,new,,,edge.boost.mn,,gogo.mn,,
bn_a1626cc53b,gogo.mn,2025-09-17,2025-09-17,1,2025-09-17,c:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758090458_a1626cc53b.webp,a1626cc53b,d26974a20c708bff,new,,,edge.boost.mn,,gogo.mn,,
bn_ba402249d0,gogo.mn,2025-09-17,2025-09-17,1,2025-09-17,c:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758090458_ba402249d0.webp,ba402249d0,ca839166b47de9d0,new,,,edge.boost.mn,,gogo.mn,,
bn_371807dfd7,gogo.mn,2025-09-17,2025-09-17,1,2025-09-17,c:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758090458_371807dfd7.webp,371807dfd7,9e4c73318ccc5379,new,,,edge.boost.mn,,gogo.mn,,
bn_af3ba72442,gogo.mn,2025-09-17,2025-09-17,1,2025-09-17,c:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758090458_af3ba72442.webp,af3ba72442,d2701a9b6b9f106b,new,,,edge.boost.mn,,gogo.mn,,
bn_bf4e4a14d8,gogo.mn,2025-09-17,2025-09-17,1,2025-09-17,c:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758090458_bf4e4a14d8.webp,bf4e4a14d8,82ac29f3fd8c9135,new,,,edge.boost.mn,,gogo.mn,,
bn_0f3b81fbf5,gogo.mn,2025-09-17,2025-09-17,1,2025-09-17,c:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758090458_0f3b81fbf5.webp,0f3b81fbf5,b14e4eb15932794e,new,,,edge.boost.mn,,gogo.mn,,
bn_b436737b1d,gogo.mn,2025-09-17,2025-09-17,1,2025-09-17,c:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758090458_b436737b1d.webp,b436737b1d,c1e57e1ab52598c3,new,,,edge.boost.mn,,gogo.mn,,
bn_aff40ab66b,gogo.mn,2025-09-17,2025-09-17,1,2025-09-17,c:\Users\tuguldur.kh\Downloads\adscraper-full-code\banner_screenshots\gogo.mn\2025-09-17\gogo_boost_1758090486_aff40ab66b.webp,aff40ab66b,8da1767a2ca70bd8,new,,,edge.boost.mn,,gogo.mn,,
